Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen"
"2020-06-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,561,19913,10701,0,7699,0,1000,100,81,160,NA
"2020-06-06T12:15:00+02:00",DEUTSCHLAND,KINDER,77,1,624,291,0,184,0,51,11,5,10,NA
"2020-06-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,566,19325,11254,0,8043,0,997,94,86,164,NA
"2020-06-07T12:15:00+02:00",DEUTSCHLAND,KINDER,77,1,622,297,0,195,0,51,10,6,10,NA
"2020-06-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,543,19179,11397,0,8213,0,1012,94,78,157,NA
"2020-06-08T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,630,293,0,198,0,49,10,6,12,NA
"2020-06-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,516,20019,10644,0,7722,0,1009,98,79,159,NA
"2020-06-09T12:15:00+02:00",DEUTSCHLAND,KINDER,77,6,639,297,0,205,0,50,9,5,13,NA
"2020-06-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,483,20167,10529,0,7662,0,994,97,88,167,NA
"2020-06-10T12:15:00+02:00",DEUTSCHLAND,KINDER,78,5,656,290,0,203,0,52,10,5,11,NA
"2020-06-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,452,20093,10572,0,7647,0,988,98,91,171,NA
"2020-06-11T12:15:00+02:00",DEUTSCHLAND,KINDER,78,1,660,291,0,202,0,52,9,6,11,NA
"2020-06-12T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,450,19624,10996,0,7927,0,991,96,87,174,NA
"2020-06-12T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,636,302,0,206,0,53,8,5,11,NA
"2020-06-13T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1349,441,19567,10971,0,7898,0,984,98,89,178,NA
"2020-06-13T12:15:00+02:00",DEUTSCHLAND,KINDER,79,1,637,310,0,206,0,54,7,8,10,NA
"2020-06-14T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1349,438,19182,11328,0,8155,0,986,98,89,176,NA
"2020-06-14T12:15:00+02:00",DEUTSCHLAND,KINDER,79,0,625,322,0,214,0,55,7,7,10,NA
"2020-06-15T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,434,19268,11348,0,8156,0,996,97,83,172,NA
"2020-06-15T12:15:00+02:00",DEUTSCHLAND,KINDER,79,0,606,341,0,225,0,57,7,7,8,NA
"2020-06-16T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,421,19987,10669,0,7710,0,1005,93,80,170,NA
"2020-06-16T12:15:00+02:00",DEUTSCHLAND,KINDER,79,1,602,343,0,225,0,60,6,6,7,NA
"2020-06-17T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,407,20269,10404,0,7550,0,999,93,82,174,NA
"2020-06-17T12:15:00+02:00",DEUTSCHLAND,KINDER,79,2,634,311,0,204,0,58,8,6,7,NA
"2020-06-18T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1349,394,20397,10377,0,7561,0,1000,91,82,176,NA
"2020-06-18T12:15:00+02:00",DEUTSCHLAND,KINDER,79,4,641,304,0,197,0,56,8,7,8,NA
"2020-06-19T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1349,374,20490,10274,0,7490,0,1006,89,87,167,NA
"2020-06-19T12:15:00+02:00",DEUTSCHLAND,KINDER,79,3,637,304,0,199,0,56,9,6,8,NA
"2020-06-20T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1351,359,20176,10523,0,7579,0,1007,87,89,168,NA
"2020-06-20T12:15:00+02:00",DEUTSCHLAND,KINDER,80,3,643,309,0,202,0,56,9,6,9,NA
"2020-06-21T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1351,350,19608,11080,0,7947,0,1002,86,88,175,NA
"2020-06-21T12:15:00+02:00",DEUTSCHLAND,KINDER,80,3,628,327,0,217,0,55,9,6,10,NA
"2020-06-22T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1354,363,19626,11246,0,8068,0,1016,88,80,170,NA
"2020-06-22T12:15:00+02:00",DEUTSCHLAND,KINDER,80,5,628,327,0,219,0,56,8,7,9,NA
"2020-06-23T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1355,358,20248,10614,0,7696,0,1007,93,82,173,NA
"2020-06-23T12:15:00+02:00",DEUTSCHLAND,KINDER,80,4,637,322,0,213,0,56,10,6,8,NA
"2020-06-24T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1355,353,20330,10594,0,7696,0,1014,90,78,173,NA
"2020-06-24T12:15:00+02:00",DEUTSCHLAND,KINDER,80,3,648,315,0,212,0,54,9,7,10,NA
"2020-06-25T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1353,358,20326,10550,0,7715,0,1022,92,76,163,NA
"2020-06-25T12:15:00+02:00",DEUTSCHLAND,KINDER,81,3,650,316,0,216,0,55,10,7,9,NA
"2020-06-26T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1353,359,20472,10339,0,7548,0,1011,94,78,170,NA
"2020-06-26T12:15:00+02:00",DEUTSCHLAND,KINDER,80,4,632,320,0,220,0,54,11,6,9,NA
"2020-06-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1354,343,20264,10541,0,7593,0,1010,79,84,181,NA
"2020-06-27T12:15:00+02:00",DEUTSCHLAND,KINDER,80,2,644,312,0,213,0,56,8,6,10,NA
"2020-06-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1354,335,19761,11019,0,7884,0,1009,84,78,183,NA
"2020-06-28T12:15:00+02:00",DEUTSCHLAND,KINDER,80,3,645,311,0,205,0,56,9,5,10,NA
